colonia_alcaldia,consumo_total,tot_hog,nivel_promedio_ponderado,diversidad_shannon,PC1,PC2,PC3,PC4
HUICHAPAN | MIGUEL HIDALGO,40478.29,543,1.3412945556741651,0.6418904173420245,-0.6659456786434376,0.03459306891885881,0.6985272758119325,-0.7852576029678637
HUICHAPAN | XOCHIMILCO,26266.71,317,3.4281777200113757,0.6827945253102484,0.15719410807941891,2.073410822944999,0.2718710788267845,0.33325603947720794
IGNACIO ALLENDE | AZCAPOTZALCO,26699.219999999998,453,2.0014786948832213,0.011113657372207382,-1.347145405677187,0.47104766165104106,-0.742582177962767,0.002849984979934926
IGNACIO CHAVEZ (U HAB) | TLALPAN,30524.52,516,1.0,-0.0,-1.7694084220423771,-0.478097311290926,-0.49959609503249935,-0.5392302953024616
IGNACIO MANUEL ALTAMIRANO | MIGUEL HIDALGO,15190.970000000001,374,2.2854136371805094,0.5979938856191941,-0.5363510389971649,0.9902731431788199,0.49356811576746085,-0.13851979100492762
IGNACIO ZARAGOZA (U HAB) | IZTAPALAPA,41337.23,464,1.0,-0.0,-1.7136376656782826,-0.46474874900617497,-0.5658682921830309,-0.6427848873257702
IGNACIO ZARAGOZA I | VENUSTIANO CARRANZA,132945.49,3492,2.665039483475521,1.129148912625193,2.3959535682723914,-0.1738572872526462,0.6749343482444142,0.4188087181293254
IGNACIO ZARAGOZA II | VENUSTIANO CARRANZA,90574.88,2078,2.5307535599274322,1.1474685799935587,1.5110156684392724,0.46760563722102433,1.0620092605294447,-0.04439604303396038
IMAN 580 (U HAB) | COYOACAN,0.0,934,0.0,-0.0,-2.2792893223198525,-1.5592955492152267,-0.02872878011220138,-0.6659897406406197
IMAN | COYOACAN,10511.6,451,3.0,-0.0,-1.0194090623115215,1.39357680520327,-0.9561134275889673,0.6754300965843022
INDECO (U HAB) | GUSTAVO A. MADERO,2204.59,522,1.4697426732408292,0.6913150497399809,-0.8176067424746265,0.22408171444895458,1.0066509241782797,-0.476274877790782
INDEPENDENCIA BATAN SUR (U HAB) | LA MAGDALENA CONTRERAS,9229.85,589,2.0,-0.0,-1.4327000820977915,0.4181882597754408,-0.6602294132047926,0.20103861095697154
INDEPENDENCIA SAN RAMON (U HAB) | LA MAGDALENA CONTRERAS,1200.43,937,1.0,-0.0,-1.8116933080241628,-0.654337347161607,-0.3284008415759634,-0.12264670186086458
INDEPENDENCIA | BENITO JUAREZ,214291.0,4234,2.1900393390296373,0.45493364192454644,2.128698850237415,-1.3109600477294234,-1.149094144040511,0.3214367986702732
INDUSTRIAL I | GUSTAVO A. MADERO,183819.28999999998,2970,2.94034374738364,1.0497850771639532,2.569345655251424,0.24941665853459002,0.12289065166085378,-0.004948038010031995
INDUSTRIAL II | GUSTAVO A. MADERO,132576.79,2978,2.811227515766523,0.9905517588146848,2.0731351408595,0.1671564372477278,0.3563373338352706,0.3337125581579334
INDUSTRIAL PUERTO AEREO (FRACC) | VENUSTIANO CARRANZA,45925.340000000004,41,1.5966253053325243,0.7629724814990553,-0.5426088457587681,0.5541203629957138,0.8618248204880188,-0.9982524143265614
INDUSTRIAL VALLEJO (U HAB) | AZCAPOTZALCO,420549.36,109,1.9664848378321156,0.8538160765135209,2.409358905984236,0.4495018357023909,-1.4066677461314867,-3.529022440697323
INFONAVIT (U HAB) | LA MAGDALENA CONTRERAS,8580.93,134,2.0,-0.0,-1.6143459217348284,0.6465305863298111,-0.6422862965723772,-0.014861591870526176
INFONAVIT CULHUACAN ZONA 1 (U HAB) | COYOACAN,690.9300000000001,298,1.0,-0.0,-2.063971152346828,-0.3341249121460749,-0.3057234407124426,-0.4287675119848308
INFONAVIT CULHUACAN ZONA 2 (U HAB) | COYOACAN,1574.48,520,1.0,-0.0,-1.971358635589663,-0.4461997303694139,-0.31803601739651677,-0.32753488553442306
INFONAVIT CULHUACAN ZONA 3 (U HAB) | COYOACAN,14746.82,585,2.0,-0.0,-1.395474812707603,0.4137290305794475,-0.6947303697201442,0.15912632600807838
INFONAVIT IZTACALCO (U HAB) I | IZTACALCO,108289.981,2576,1.6015041225281959,0.9146521145173575,1.089431923601567,-0.7285571785083885,0.713365075109705,-0.30695011343076695
INFONAVIT IZTACALCO (U HAB) II | IZTACALCO,29034.52,2274,1.531838997166132,0.691118364675963,0.08104212558021616,-0.6273465601960457,0.7663122387902489,0.2130730771764102
INFONAVIT PROLONGACION DIVISION DEL NORTE (U HAB) | XOCHIMILCO,21399.81,443,1.0,-0.0,-1.8619627299130206,-0.4308997316588044,-0.4401066667540626,-0.5085109450497958
INPI PICOS | IZTACALCO,23626.91,758,1.947335474676968,0.20628726702433095,-1.011313289224992,0.3422613060708079,-0.3029336854598066,0.029180230594715664
INSURGENTES CUICUILCO | COYOACAN,172258.19,1581,3.82240519304191,0.46772671304136704,1.5655683603544217,1.5517490869810384,-1.2540324736642532,0.23099050564031767
INSURGENTES MIXCOAC | BENITO JUAREZ,265093.47,2545,3.9149664833313325,0.28809210441749317,2.3931988479801354,0.9810976228624428,-2.27396313513937,0.1816249307750012
INSURGENTES SAN BORJA | BENITO JUAREZ,55495.51,243,3.830584131941485,0.21714755157072915,-0.1105536640904083,2.276130892259739,-1.0142006419202176,0.5791330993544129
INSURGENTES | IZTAPALAPA,2527.12,1613,1.0642035202127322,0.23838032054850877,-1.1880074017582263,-0.8510519312835908,0.1293851107499098,0.09161045356693254
INTEGRACION LATINOAMERICANA (U HAB) | COYOACAN,103257.16,1394,1.1412790163897593,0.18986513892060555,-0.5953550688021282,-0.8067181101580649,-0.6214740634646673,-0.673630704618554
IRRIGACION | MIGUEL HIDALGO,262742.29,2198,3.864683374724336,0.397452464051291,2.366248097081767,1.150608442267671,-2.002052843944264,-0.061138535452311286
ISIDRO  FABELA (AMPL) | TLALPAN,6843.11,359,1.722142417701893,0.5909184845361442,-0.8683966984305141,0.4936635088575232,0.6959128962008438,-0.39130518368922157
ISIDRO FABELA I (PONIENTE) | TLALPAN,45381.82,1525,2.518759494440725,1.1728519436799179,1.006880647717988,0.7952508034058207,1.4198125833768416,-0.006497679206270223
ISIDRO FABELA II (ORIENTE) | TLALPAN,91781.08,1984,2.7886260436246775,0.9239498558926899,1.2992205741666571,0.6679290879483777,0.5080370609590323,0.17382174316799215
